f1,f2,f3
-0.5546108821596043,-0.9224577028493447,-2.121755604426584
-1.9303817221927764,-0.2468026469624395,0.8505301170583736
0.16646471095576684,0.0830903683757897,0.3782481272612561
-0.5209635824612397,-0.29530832576848,-1.354722826530971
0.13113026939879477,-1.1729575657281794,0.7365013715462145
-0.08892925773965667,1.4910198854254229,-0.4904095488881705
1.1786957560235853,0.6797174213812717,0.9085974175972915
1.053726405340082,0.7521043071899708,1.0164175860612819
-0.28830976127121577,0.40412314442239794,-1.3648375696772472
-1.0611204302752548,-0.6069929592862642,-0.7855745195818253
-0.6472994646389028,-0.24758328181398984,-1.3092083467504338
0.46300365028201107,-0.12557587158375424,0.7052345133087571
-0.3698177562285827,-0.6226883030429314,-1.8828605057103631
-1.6496028616061462,-0.8562809732294812,0.04719767124358701
-0.19874751357671988,1.0686957391779033,-1.226357921331033
0.8231199658391397,-0.5643966374627125,0.945011609146757
2.034586342493962,1.117309777964392,1.7688999075609233
1.0725382903295424,1.0988619558204695,0.36402756162629035
0.9910078070962152,0.4517247185249902,0.8248798048598813
2.0373611209626623,1.4696818785769994,1.4793558393938697
-0.48314532030564744,2.2507637470560033,0.39783269668712484
0.5572501585788645,-0.12979429082110958,0.521761942122997
-1.1746899020920332,-0.6526751027091965,-0.470289146920658
-1.2560261097989762,-0.35195616712255307,-0.04250630757586196
1.7819620045608648,1.9332369203740816,1.3277918877861237
0.15921464282402456,1.795276764493115,-1.1698979462757553
-1.3914821752541349,-0.6265481230053841,-0.22110996102533964
-0.26915107820921724,0.10796908265094135,-1.0898213587962933
-1.082868493374659,0.08913665580486453,-0.14917565080692013
1.4815846584875145,0.3592125462627854,1.4961132941139246
1.2059519857187002,0.19985989587527628,1.536086424028737
1.522546636373656,1.2239700810934808,1.1829565021137023
0.04363181622194102,-0.856370891177088,0.10202315180776324
1.8529917229401052,0.8338576187083672,1.3770211461755144
0.9682891732747123,0.4884933707866922,0.8503553223324007
1.2437369802413323,0.8685961261001302,0.6787440043911303
1.1343123955639887,1.635280275804542,0.664099601939484
-0.11433022538193643,0.8250317588053854,-1.3649491562034775
1.9981585457502877,2.949157539906038,0.9607822066438759
0.4780453850385522,0.08958235621514932,0.6072618414204433
-1.6025220877056299,-1.4675710086342149,-0.33485343503622195
-0.5562970783737937,-1.824337189057559,-0.28879598845467214
-0.6947454345011194,1.016645747799717,0.16358857877908192
1.5844908484290159,1.13036813704711,1.4958215397611352
0.8569259515784424,-0.09421510948985304,0.8869045550961939
-0.8751964976935568,0.2685565336017219,-0.2398306234650994
1.2842821673669653,0.8784708747422432,1.3768760318500637
0.9214420040148271,0.01397399549719131,0.6223998079346276
-0.8291229266983444,-0.8525069968112602,-1.455668619216897
0.7493185835412111,-0.1615864722814586,0.9057824037400086
0.4057888026394848,-0.754971396746982,0.8226471155558899
2.313845006009909,1.9876000433793648,1.7721346279874695
-0.38491542687432867,0.41223190426806644,-1.247280309425398
0.3270368769375897,-0.8423672365871586,0.6811457237600209
